"checking_status","duration","credit_history","purpose","credit_amount","savings_status","employment","installment_commitment","personal_status","other_parties","residence_since","property_magnitude","age","other_payment_plans","housing","existing_credits","job","num_dependants","own_telephone","foreign_worker","class"
"adequate balance",15.31702657,"existing paid","new car",1982.947946,"low savings","4-6 years",2,"male div/sep","co applicant",2.842270209,"life insurance",19.84227021,"stores","rent",1.578864896,"skilled",1.421135104,"none","yes","bad"
"low balance",48,"critical/order existing credit","other",6284.083269,"low savings","7 or more years",4,"male single","none",4,"no known property",47.75389649,"stores","for free",1.561525877,"skilled",1,"none","yes","bad"
"overdrawn",10.92229001,"critical/order existing credit","education",3393.84458,"low savings","1-3 years",1.328152667,"male div/sep","none",3.015541998,"no known property",38.09325199,"stores","own",1.328152667,"high qualif/self emp/mgmt",1,"none","yes","bad"
"adequate balance",18.9302497,"no credits/all paid","business",4156.472711,"low savings","1-3 years",2.155041617,"male single","none",2.310083233,"car",33.98445898,"stores","own",2,"skilled",2,"none","yes","bad"
"adequate balance",18.05447734,"critical/order existing credit","furniture/equipment",2774.854727,"low savings","4-6 years",2.036318223,"male mar/wid","none",2,"car",31.54477335,"bank","own",2,"skilled",1,"none","yes","bad"
"overdrawn",36,"existing paid","furniture/equipment",1838.789306,"low savings","4-6 years",4,"female div/dep/mar","none",4,"car",34.41878615,"stores","for free",1,"skilled",1,"yes","yes","bad"
"low balance",12.00301633,"delayed previously","other",1664.244219,"low savings","4-6 years",4,"female div/dep/mar","none",2,"car",26.50452449,"stores","own",1.250251361,"skilled",1.250251361,"none","yes","bad"
"no checking",12.23300841,"critical/order existing credit","radio/tv",1554.029132,"low savings","less than 1 year",3.961165266,"male single","none",3.922330531,"life insurance",54.10680111,"bank","for free",2,"skilled",1.961165266,"none","yes","bad"
"low balance",19.45101728,"delayed previously","new car",1440.483672,"low savings","4-6 years",3.393468971,"female div/dep/mar","none",3.696734485,"car",24.81959309,"stores","own",1.696734485,"skilled",1,"none","yes","bad"
"overdrawn",14.77750544,"critical/order existing credit","other",6463.370824,"high savings","7 or more years",2,"male single","none",2.388752718,"no known property",45.98207155,"bank","own",1.462917573,"high qualif/self emp/mgmt",1.462917573,"yes","yes","bad"
"low balance",12,"delayed previously","new car",674.8442712,"low savings","1-3 years",2.344261992,"male div/sep","none",3.172130996,"car",24.827869,"bank","own",1,"unskilled resident",1,"none","yes","bad"
"low balance",41.48297002,"existing paid","repairs",4640.572122,"low savings","less than 1 year",2.728457084,"male mar/wid","none",4,"life insurance",24.27154292,"bank","for free",1.728457084,"skilled",1.728457084,"none","yes","bad"
"adequate balance",18.20848902,"existing paid","business",4163.193095,"low savings","1-3 years",2.03474817,"male mar/wid","none",2.069496339,"car",35.72201464,"stores","own",1.96525183,"skilled",1.96525183,"none","yes","bad"
"low balance",18.94786155,"delayed previously","new car",1039.156415,"high savings","1-3 years",4,"female div/dep/mar","none",2.31595385,"life insurance",35.36965387,"stores","own",1,"skilled",1,"none","yes","bad"
"overdrawn",48,"existing paid","furniture/equipment",3927.695539,"low savings","1-3 years",4,"male mar/wid","none",3.611239932,"no known property",44.44495973,"bank","for free",1,"skilled",1.805619966,"none","yes","bad"
"low balance",21.53187657,"existing paid","new car",1350.886461,"low savings","4-6 years",3.411353905,"female div/dep/mar","none",3.588646095,"life insurance",25.41135391,"bank","own",1,"unemp/unskilled non res",1,"none","yes","bad"
"low balance",9.901463368,"existing paid","furniture/equipment",956.5960977,"low savings","1-3 years",1.901463368,"female div/dep/mar","none",2.600975578,"car",28.39902442,"bank","own",1.901463368,"skilled",1,"none","no","bad"
"low balance",41.10682474,"critical/order existing credit","education",6029.267799,"low savings","1-3 years",4,"male single","none",3.138353092,"no known property",30.18212113,"bank","for free",1,"skilled",1,"none","yes","bad"
"overdrawn",23.8172212,"existing paid","furniture/equipment",4111.309915,"low savings","less than 1 year",2.969536867,"male single","guarantor",3.969536867,"life insurance",23.57879952,"bank","own",1.969536867,"skilled",1.969536867,"none","yes","bad"
"low balance",35.13728812,"existing paid","business",4287.991337,"low savings","1-3 years",3.714595104,"female div/dep/mar","none",4,"car",25.42919021,"stores","rent",1.714595104,"unemp/unskilled non res",1,"none","yes","bad"
"adequate balance",24.9856204,"existing paid","business",4591.574945,"low savings","1-3 years",2.041067517,"male single","none",3.041067517,"life insurance",52.7679745,"stores","for free",2.958932483,"high qualif/self emp/mgmt",1.041067517,"none","yes","bad"
"overdrawn",14.39292541,"existing paid","new car",1533.601179,"low savings","less than 1 year",2.196462704,"male mar/wid","guarantor",1,"no known property",30.97641803,"stores","own",1,"skilled",1.398820901,"none","yes","bad"
"low balance",29.20224885,"critical/order existing credit","furniture/equipment",2730.138581,"low savings","4-6 years",3.433520738,"male div/sep","none",4,"car",24.76872811,"bank","own",1,"unemp/unskilled non res",1,"none","yes","bad"
"overdrawn",21.69638379,"existing paid","furniture/equipment",1282.440426,"no known savings","1-3 years",4,"female div/dep/mar","none",3.488085286,"life insurance",29.95234114,"stores","rent",1,"skilled",1,"none","yes","bad"
"no checking",26.24741842,"delayed previously","new car",2561.972463,"low savings","1-3 years",3.250860527,"female div/dep/mar","none",3.250860527,"no known property",27.52237371,"stores","own",1.250860527,"skilled",1.250860527,"none","yes","bad"
"low balance",34.89399795,"existing paid","furniture/equipment",3445.078332,"low savings","less than 1 year",3.631332651,"male mar/wid","guarantor",2.368667349,"car",38.12899284,"stores","own",1,"skilled",1.815666326,"none","yes","bad"
"overdrawn",43.3016677,"existing paid","radio/tv",1843.220795,"low savings","1-3 years",4,"male single","none",3.838254067,"life insurance",23.56611077,"stores","for free",1,"high qualif/self emp/mgmt",1.080872967,"none","yes","bad"
"adequate balance",9.571685525,"existing paid","new car",1320.992805,"high savings","1-3 years",4,"male single","guarantor",3.14337105,"car",29.99820132,"stores","own",1.428314475,"skilled",1,"none","yes","bad"
"overdrawn",12,"existing paid","furniture/equipment",1281.534451,"low savings","1-3 years",2.058193596,"female div/dep/mar","none",3.825419213,"car",20.98929112,"stores","own",1,"skilled",1,"none","yes","bad"
"low balance",24,"existing paid","new car",1369.64342,"high savings","1-3 years",3.915213728,"female div/dep/mar","none",4,"no known property",25,"stores","own",1,"skilled",1,"none","yes","bad"
"low balance",21.34588662,"critical/order existing credit","other",1216,"low savings","less than 1 year",4,"male div/sep","none",3.55764777,"life insurance",31.36471655,"bank","own",1.55764777,"skilled",1.55764777,"none","yes","bad"
"low balance",24,"existing paid","new car",1358.836598,"low savings","4-6 years",3.239787359,"female div/dep/mar","none",4,"car",25,"stores","own",1,"unemp/unskilled non res",1,"none","yes","bad"
"overdrawn",22.87352052,"existing paid","new car",1381.469366,"high savings","1-3 years",3.81225342,"female div/dep/mar","none",2,"life insurance",34.15514039,"stores","own",1,"skilled",1,"none","yes","bad"
"low balance",38.19439197,"delayed previously","furniture/equipment",5163.822122,"low savings","1-3 years",3.634268006,"male mar/wid","none",2.182865997,"car",29.182866,"stores","own",1,"high qualif/self emp/mgmt",1,"none","yes","bad"
"low balance",12.39231602,"existing paid","new car",1080.299964,"low savings","1-3 years",3.934613997,"male single","guarantor",3.934613997,"car",46.82305195,"bank","own",2,"skilled",1,"none","yes","bad"
"overdrawn",26.17037644,"critical/order existing credit","domestic appliance",3141.828341,"low savings","1-3 years",3.276541188,"male mar/wid","none",2.723458812,"life insurance",31,"stores","own",1,"skilled",1,"none","yes","bad"
"overdrawn",10.55008877,"existing paid","other",664.3339251,"low savings","1-3 years",4,"male mar/wid","none",1.966607485,"car",23.86642994,"stores","own",1,"skilled",1,"none","yes","bad"
"overdrawn",38.14333007,"critical/order existing credit","domestic appliance",4290.257994,"low savings","1-3 years",1.685777343,"female div/dep/mar","none",4,"car",23.34288867,"stores","own",1.657111329,"skilled",1,"none","yes","bad"
"low balance",20.61403739,"existing paid","new car",2039,"low savings","1-3 years",1,"female div/dep/mar","none",2.692981304,"no known property",20.8713458,"bank","own",1,"skilled",1,"none","yes","bad"
"overdrawn",29.5209436,"delayed previously","furniture/equipment",3460.307916,"low savings","less than 1 year",3.730039317,"male mar/wid","guarantor",2,"car",38.49051112,"stores","own",1.269960683,"skilled",1.730039317,"none","yes","bad"
"low balance",15.57259353,"existing paid","furniture/equipment",3956.90049,"low savings","1-3 years",3.047716128,"female div/dep/mar","none",2,"car",29.33401289,"stores","own",1,"skilled",1.047716128,"yes","yes","bad"
"overdrawn",20.60377674,"delayed previously","new car",996.8302139,"low savings","less than 1 year",2.301888369,"female div/dep/mar","none",2.867925579,"life insurance",33.84906974,"stores","own",1,"unemp/unskilled non res",1,"none","yes","bad"
"adequate balance",12,"existing paid","education",720.2691716,"low savings","less than 1 year",4,"male mar/wid","none",3.841353552,"car",39.73082842,"bank","own",1,"unskilled resident",1.841353552,"none","yes","bad"
"overdrawn",34.55802423,"existing paid","other",4213.725104,"low savings","1-3 years",3.639506057,"male single","none",2.240329296,"car",27.20164648,"stores","own",1.240329296,"skilled",1,"none","yes","bad"
"low balance",36.153834,"critical/order existing credit","furniture/equipment",5186.820606,"low savings","less than 1 year",3.316240667,"male div/sep","none",2.341879667,"car",28.68375933,"stores","own",1.658120333,"high qualif/self emp/mgmt",1,"none","yes","bad"
"low balance",12.56494193,"existing paid","radio/tv",1332.318198,"low savings","4-6 years",2.188313977,"male mar/wid","none",1.188313977,"car",22.37662795,"stores","own",1,"skilled",1,"none","yes","bad"
"overdrawn",25.86847986,"existing paid","furniture/equipment",2373.636426,"low savings","7 or more years",1.934239928,"female div/dep/mar","none",1.934239928,"life insurance",29.88586691,"stores","own",1,"skilled",1,"none","yes","bad"
"overdrawn",9.307342071,"existing paid","other",1366.307342,"low savings","4-6 years",3.020489471,"female div/dep/mar","none",3.959021057,"life insurance",22.26636313,"stores","own",1,"skilled",1,"none","yes","bad"
"adequate balance",31.79207352,"existing paid","new car",3355.48722,"low savings","1-3 years",3.82466973,"female div/dep/mar","none",2.35066054,"car",29.22731189,"stores","for free",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"low balance",36,"existing paid","business",1958.679254,"low savings","7 or more years",4,"male single","none",4,"no known property",56.03065288,"stores","for free",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"low balance",21.92217407,"existing paid","new car",1351.536957,"low savings","4-6 years",3.346304321,"female div/dep/mar","none",3.653695679,"life insurance",25.34630432,"bank","own",1,"unemp/unskilled non res",1,"none","yes","bad"
"low balance",13.60597856,"critical/order existing credit","furniture/equipment",1272.364129,"low savings","1-3 years",2,"male div/sep","none",2.929347626,"car",22.67663094,"stores","rent",1,"skilled",1,"none","yes","bad"
"overdrawn",31.79728419,"existing paid","radio/tv",2388.552942,"low savings","less than 1 year",3.649773683,"male single","none",1.350226317,"life insurance",33.70045263,"bank","own",1.350226317,"unemp/unskilled non res",1,"none","yes","bad"
"overdrawn",18.57670709,"existing paid","furniture/equipment",2469.780052,"low savings","7 or more years",4,"male mar/wid","none",1.144176773,"car",24.90388215,"stores","own",1,"skilled",1,"none","yes","bad"
"overdrawn",9.152562805,"existing paid","radio/tv",1336.694874,"low savings","less than 1 year",3.898291463,"male single","none",1.949145732,"car",33.38974878,"stores","own",1.949145732,"high qualif/self emp/mgmt",1,"none","yes","bad"
"overdrawn",13.35983535,"existing paid","furniture/equipment",1282,"low savings","1-3 years",2.226639225,"female div/dep/mar","none",3.773360775,"car",21.35983535,"stores","own",1,"skilled",1,"none","yes","bad"
"low balance",24,"delayed previously","furniture/equipment",2057.477659,"low savings","7 or more years",2.478212753,"female div/dep/mar","none",1.739106377,"life insurance",30.86927652,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"low balance",48.7987643,"delayed previously","education",6228.260076,"low savings","less than 1 year",4,"male single","none",4,"no known property",49.46749046,"stores","for free",1,"skilled",1,"none","yes","bad"
"overdrawn",16.49064104,"delayed previously","education",2579.49896,"low savings","less than 1 year",4,"male single","none",1.498960116,"real estate",36.99168093,"bank","own",1,"unskilled resident",2,"none","yes","bad"
"overdrawn",18.47252938,"critical/order existing credit","new car",4857.563191,"low savings","4-6 years",3,"male single","guarantor",4,"life insurance",48.39377448,"stores","for free",2,"skilled",1.539377448,"none","yes","bad"
"low balance",39.48108692,"existing paid","education",6330.405754,"high savings","less than 1 year",4,"male single","none",4,"life insurance",34.47639854,"stores","for free",1,"skilled",1,"none","yes","bad"
"adequate balance",17.54266048,"delayed previously","domestic appliance",2579.615851,"low savings","less than 1 year",4,"male single","none",1.615851164,"real estate",37.92680932,"bank","own",1,"unskilled resident",2,"none","yes","bad"
"low balance",12.67330075,"existing paid","new car",1294.438916,"low savings","4-6 years",3.056108395,"female div/dep/mar","none",1.168325186,"car",25.39275877,"stores","rent",1,"skilled",1,"none","yes","bad"
"adequate balance",46.4063872,"existing paid","business",3899.391883,"high savings","1-3 years",4,"female div/dep/mar","none",1.867198934,"no known property",38.53120427,"bank","own",1,"skilled",1,"none","yes","bad"
"overdrawn",22.63552445,"existing paid","radio/tv",2317.91009,"low savings","4-6 years",2.727192805,"female div/dep/mar","none",3.363596403,"life insurance",27.18157842,"stores","own",1,"unemp/unskilled non res",1,"none","yes","bad"
"low balance",9.597152116,"existing paid","new car",651.0142394,"low savings","1-3 years",4,"male single","none",2.800949295,"car",28.39810141,"stores","own",1,"unemp/unskilled non res",1,"none","yes","bad"
"overdrawn",21.09451508,"existing paid","new car",947.968495,"low savings","4-6 years",4,"male single","none",3,"life insurance",36.38584171,"bank","for free",1.322831658,"skilled",2,"none","yes","bad"
"low balance",15.44020225,"critical/order existing credit","furniture/equipment",1925.440202,"low savings","4-6 years",2.853265917,"male single","none",2,"no known property",33.55979775,"stores","own",1.573367042,"unskilled resident",1,"none","yes","bad"
"low balance",40.75948834,"existing paid","other",3023.032978,"low savings","1-3 years",4,"male mar/wid","guarantor",3.871499647,"life insurance",21.51400141,"stores","rent",1.128500353,"skilled",1,"none","yes","bad"
"low balance",13.07616315,"delayed previously","other",1476.466858,"high savings","1-3 years",2.358721049,"male mar/wid","none",1.538081573,"no known property",26.25552367,"stores","for free",1.179360524,"skilled",1.179360524,"none","yes","bad"
"overdrawn",28.30975575,"existing paid","furniture/equipment",4821.848475,"low savings","4-6 years",2.179573156,"male single","co applicant",2.820426844,"car",31.35914631,"bank","own",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"overdrawn",37.54454316,"existing paid","other",6759.045546,"low savings","1-3 years",2.651484772,"male div/sep","none",2.697030456,"car",43.89506344,"stores","own",1.348515228,"skilled",1,"none","yes","bad"
"low balance",11.37994692,"existing paid","furniture/equipment",903.7203185,"high savings","1-3 years",4,"male div/sep","none",1.79331564,"car",24.44679052,"stores","own",1,"skilled",1,"none","yes","bad"
"overdrawn",25.06869971,"delayed previously","business",1911.835456,"low savings","less than 1 year",4,"male single","none",3.452077745,"no known property",58.05512731,"stores","own",1,"high qualif/self emp/mgmt",1,"none","yes","bad"
"overdrawn",20.57506944,"existing paid","other",3172.403692,"low savings","1-3 years",2,"female div/dep/mar","none",2.429178239,"no known property",25.50212384,"stores","own",1,"skilled",1,"none","yes","bad"
"overdrawn",19.472891,"existing paid","new car",909.3411138,"no known savings","4-6 years",4,"female div/dep/mar","none",2,"car",26.7364455,"bank","own",1,"skilled",1,"none","yes","bad"
"low balance",24.35066819,"existing paid","business",4242.558525,"low savings","1-3 years",1,"male mar/wid","none",4,"no known property",35.49347928,"stores","own",2.961036868,"unemp/unskilled non res",1,"none","yes","bad"
"overdrawn",15.70952331,"existing paid","new car",1220.580953,"low savings","4-6 years",4,"female div/dep/mar","none",2.618253884,"life insurance",23.38174612,"stores","own",1,"skilled",1,"none","yes","bad"
"overdrawn",24,"critical/order existing credit","new car",3575.222241,"low savings","4-6 years",2.663445785,"male single","none",4,"car",28.34621686,"bank","own",1.336554215,"skilled",1,"none","yes","bad"
"low balance",19.37524055,"delayed previously","new car",1332.229207,"low savings","7 or more years",3.229206758,"male single","none",1.614603379,"life insurance",34.90667096,"stores","for free",1.614603379,"skilled",1.614603379,"none","yes","bad"
"overdrawn",20.17936403,"existing paid","furniture/equipment",1284.044841,"high savings","1-3 years",3.363227338,"female div/dep/mar","none",4,"life insurance",28.17936403,"stores","rent",1,"skilled",1,"none","yes","bad"
"low balance",21.65374925,"delayed previously","new car",1250.692502,"low savings","4-6 years",3.478610944,"male mar/wid","none",2,"no known property",23.52138906,"stores","own",1,"unemp/unskilled non res",1,"none","yes","bad"
"low balance",45.54312287,"delayed previously","new car",5965.434153,"low savings","1-3 years",2.614219283,"female div/dep/mar","none",2.307109641,"no known property",23.53554821,"bank","own",1,"skilled",1,"none","yes","bad"
"overdrawn",26.86497056,"delayed previously","new car",5153.534244,"low savings","less than 1 year",2.954990187,"male div/sep","none",2.696673209,"car",28.3483366,"bank","own",2,"high qualif/self emp/mgmt",1,"none","yes","bad"
"adequate balance",19.14033327,"delayed previously","business",2172.547703,"low savings","1-3 years",4,"male mar/wid","none",2.126703696,"car",29.8372036,"bank","for free",1.063351848,"skilled",1,"yes","yes","bad"
"overdrawn",48,"all paid","business",7688.056533,"low savings","4-6 years",2.078372653,"female div/dep/mar","guarantor",4,"car",37.19593163,"bank","own",1,"high qualif/self emp/mgmt",1,"none","yes","bad"
"overdrawn",24,"existing paid","new car",2374.881949,"low savings","7 or more years",1.835892063,"male div/sep","none",1.417946032,"car",33.83589206,"bank","own",1.417946032,"skilled",1,"none","yes","bad"
"low balance",24.19451669,"existing paid","other",3092.518711,"low savings","less than 1 year",2.967580552,"male div/sep","none",2.064838897,"car",22.29177504,"stores","own",1,"skilled",1,"none","yes","bad"
"overdrawn",10.64391565,"critical/order existing credit","other",638.6567873,"low savings","1-3 years",4,"male div/sep","none",3.547971883,"life insurance",25.80811247,"bank","own",1,"unskilled resident",1,"none","yes","bad"
"overdrawn",41.18876152,"existing paid","other",1843.729587,"low savings","1-3 years",4,"male div/sep","none",4,"life insurance",27.65818037,"stores","for free",1,"skilled",1,"yes","yes","bad"
"low balance",24.8222434,"delayed previously","radio/tv",1903.03525,"low savings","4-6 years",4,"male div/sep","none",3.431479716,"life insurance",27.84260142,"stores","own",2,"high qualif/self emp/mgmt",1,"none","yes","bad"
"low balance",24,"existing paid","new car",1361.785207,"low savings","4-6 years",3.424075425,"female div/dep/mar","none",4,"life insurance",25,"stores","own",1,"unemp/unskilled non res",1,"none","yes","bad"
"low balance",16.38988653,"all paid","new car",1453.270794,"low savings","1-3 years",3.463295511,"male mar/wid","none",3.194943266,"no known property",30.12153429,"stores","for free",1.731647755,"unemp/unskilled non res",1.731647755,"none","yes","bad"
"overdrawn",13.5000987,"existing paid","new car",732.7503783,"low savings","less than 1 year",4,"male div/sep","none",2.499967102,"no known property",31.4999013,"stores","own",1,"unemp/unskilled non res",1,"none","yes","bad"
"low balance",15.48326407,"critical/order existing credit","other",891.5502078,"low savings","less than 1 year",4,"male mar/wid","none",4,"car",29.70816019,"bank","own",1,"skilled",1.580544012,"none","yes","bad"
"overdrawn",22.68560008,"critical/order existing credit","other",1653.7424,"low savings","4-6 years",4,"male div/sep","none",2,"car",33.81946639,"stores","own",1.438133308,"unskilled resident",1.438133308,"none","yes","bad"
"overdrawn",14.86316232,"existing paid","new car",903.5789529,"no known savings","1-3 years",4,"male div/sep","none",2,"car",24.43158116,"bank","own",1,"skilled",1,"none","yes","bad"
"overdrawn",35.52558792,"all paid","education",6860.474412,"low savings","less than 1 year",2.32015522,"male div/sep","none",1.96046566,"life insurance",57.56124176,"bank","own",1.32015522,"skilled",1,"yes","yes","bad"
"low balance",36.41698909,"existing paid","other",3014.874343,"low savings","1-3 years",4,"male mar/wid","guarantor",3.73990876,"life insurance",22.04036496,"stores","rent",1.26009124,"skilled",1,"none","yes","bad"
"adequate balance",25.14708457,"all paid","other",6427.744009,"low savings","7 or more years",2.476472305,"male single","none",4,"no known property",40.66765307,"bank","for free",2,"high qualif/self emp/mgmt",1.761763848,"yes","yes","bad"
"low balance",13.86681334,"existing paid","furniture/equipment",950.3777289,"low savings","less than 1 year",4,"male div/sep","none",3.377728886,"car",30.73362668,"bank","rent",2.755457772,"skilled",1.622271114,"none","yes","bad"
"low balance",18.41192968,"delayed previously","new car",1332.068655,"low savings","7 or more years",3.068654947,"male single","none",1.534327474,"life insurance",33.22087694,"stores","for free",1.534327474,"skilled",1.534327474,"none","yes","bad"
"overdrawn",13.53094928,"critical/order existing credit","furniture/equipment",1515.599725,"low savings","4-6 years",2.503438809,"male div/sep","none",2.496561191,"car",32.99312238,"bank","own",2,"high qualif/self emp/mgmt",1,"none","yes","bad"
"low balance",11.84427129,"critical/order existing credit","domestic appliance",1194.103819,"low savings","7 or more years",3.220763828,"female div/dep/mar","none",4,"life insurance",36.55847234,"stores","for free",1,"skilled",1.389618086,"none","yes","bad"
"low balance",6,"all paid","education",437.4645276,"low savings","less than 1 year",4,"female div/dep/mar","none",2.595270349,"life insurance",23.70236483,"bank","own",1,"skilled",1.702364825,"none","yes","bad"
"overdrawn",29.40009068,"existing paid","furniture/equipment",2409.299501,"low savings","4-6 years",4,"female div/dep/mar","none",4,"real estate",24.19981865,"stores","own",1,"skilled",1,"none","yes","bad"
"overdrawn",23.67908822,"critical/order existing credit","new car",1344.053485,"high savings","1-3 years",4,"male mar/wid","none",2.053485297,"real estate",36.41166174,"bank","own",1.946514703,"unemp/unskilled non res",1.946514703,"none","yes","bad"
"adequate balance",12.49750204,"critical/order existing credit","radio/tv",1554.626873,"low savings","less than 1 year",4,"male single","guarantor",4,"life insurance",53.7147864,"bank","for free",1.958541497,"skilled",1.958541497,"none","yes","bad"
"overdrawn",30.13999598,"existing paid","new car",3999.732869,"low savings","1-3 years",3.152856856,"male single","none",2.152856856,"car",43.31857459,"stores","own",1,"unemp/unskilled non res",1,"none","yes","bad"
"overdrawn",24,"critical/order existing credit","education",3136.486397,"low savings","4-6 years",4,"male div/sep","none",1.35490519,"life insurance",28.41962076,"stores","own",1,"skilled",1,"none","yes","bad"
"overdrawn",24.51838938,"existing paid","new car",2302.956801,"low savings","less than 1 year",4,"male mar/wid","co applicant",1.129597345,"no known property",44.39521239,"stores","own",1,"skilled",1,"none","yes","bad"
"overdrawn",46.06061943,"delayed previously","domestic appliance",4328.040266,"low savings","4-6 years",3,"female div/dep/mar","none",3.353539809,"life insurance",24.64646019,"bank","own",1.323230096,"skilled",1.323230096,"none","yes","bad"
"overdrawn",28.76218576,"existing paid","new car",1838.622353,"low savings","4-6 years",3.51747905,"female div/dep/mar","none",3.034958101,"life insurance",29.65731145,"stores","own",1.48252095,"skilled",1,"yes","yes","bad"
"adequate balance",36.16738421,"existing paid","domestic appliance",4830.688307,"low savings","less than 1 year",2.506974342,"male single","guarantor",2.493025658,"car",32.01394868,"bank","own",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"overdrawn",6.499706467,"delayed previously","domestic appliance",461.4087902,"low savings","less than 1 year",4,"female div/dep/mar","none",3.750146766,"life insurance",23.24985323,"stores","own",1,"skilled",1,"none","yes","bad"
"no checking",21.27511244,"delayed previously","business",2576.148426,"low savings","less than 1 year",4,"male single","none",2.183408295,"no known property",41.55022488,"bank","own",1.091704147,"unskilled resident",2,"none","yes","bad"
"overdrawn",26.67778169,"existing paid","new car",2424.272201,"low savings","4-6 years",4,"female div/dep/mar","none",4,"real estate",29.64443663,"stores","own",1,"skilled",1,"none","yes","bad"
"overdrawn",12,"all paid","new car",622.3836258,"low savings","1-3 years",4,"female div/dep/mar","none",3.361816315,"real estate",24.42545579,"bank","own",1,"unemp/unskilled non res",1,"none","yes","bad"
"overdrawn",19.3122237,"all paid","new car",1442,"low savings","4-6 years",4,"male mar/wid","none",4,"life insurance",30.03166445,"stores","for free",2,"unemp/unskilled non res",1.78129605,"none","yes","bad"
"overdrawn",23.65960619,"all paid","education",3536.341885,"low savings","4-6 years",2.886535398,"male single","none",3.659606194,"car",26.8865354,"bank","own",1.113464602,"skilled",1,"none","yes","bad"
"low balance",18.15451075,"delayed previously","furniture/equipment",2039.643795,"low savings","1-3 years",1.051503583,"female div/dep/mar","none",3.948496417,"no known property",20.36052508,"bank","own",1,"high qualif/self emp/mgmt",1,"none","yes","bad"
"overdrawn",12,"existing paid","furniture/equipment",1082.166819,"low savings","1-3 years",4,"male mar/wid","none",4,"car",47.9226936,"bank","own",1.995931242,"skilled",1,"none","yes","bad"
"low balance",24.67045386,"all paid","education",1837.279356,"low savings","4-6 years",4,"female div/dep/mar","none",4,"life insurance",34,"bank","for free",1,"unemp/unskilled non res",1,"none","yes","bad"
"overdrawn",24,"critical/order existing credit","new car",1365.096905,"no known savings","4-6 years",4,"male div/sep","none",3.54591577,"life insurance",31.81126345,"stores","own",1,"high qualif/self emp/mgmt",1,"none","yes","bad"
"overdrawn",22.59006658,"existing paid","furniture/equipment",7834.994811,"low savings","7 or more years",4,"male single","none",4,"no known property",49.76414632,"bank","for free",1,"high qualif/self emp/mgmt",1,"none","yes","bad"
"overdrawn",17.81191166,"existing paid","furniture/equipment",1129.463945,"low savings","7 or more years",4,"female div/dep/mar","none",2.062696112,"car",33.47022084,"bank","own",1.031348056,"skilled",1,"none","yes","bad"
"overdrawn",24,"all paid","new car",1365.17531,"no known savings","less than 1 year",4,"male mar/wid","none",2.68803001,"car",38.44015005,"stores","own",1,"high qualif/self emp/mgmt",1,"none","yes","bad"
"overdrawn",22.04356649,"delayed previously","new car",4821.238939,"low savings","4-6 years",2.163036126,"male single","co applicant",3.163036126,"life insurance",32.95643351,"stores","own",1.163036126,"skilled",1,"yes","yes","bad"
"overdrawn",21.19515107,"critical/order existing credit","new car",3965.866869,"low savings","less than 1 year",1.399393884,"female div/dep/mar","none",3.866868705,"no known property",33.13313129,"bank","own",2.733737411,"skilled",1,"none","yes","bad"
"overdrawn",21.57721146,"existing paid","furniture/equipment",948.9382308,"low savings","1-3 years",3.515442291,"male mar/wid","none",2.838480764,"life insurance",36.54632687,"bank","for free",1,"skilled",1.838480764,"none","no","bad"
"low balance",33.44345115,"delayed previously","domestic appliance",2147.130457,"low savings","1-3 years",2.85218295,"male div/sep","guarantor",1.426091475,"car",24,"bank","own",1.573908525,"skilled",1,"none","yes","bad"
"overdrawn",21.66772925,"all paid","new car",1649.670917,"high savings","1-3 years",4,"male mar/wid","none",2,"car",37.55165941,"stores","own",1.777423582,"unskilled resident",1.777423582,"none","yes","bad"
"low balance",14.37990961,"critical/order existing credit","new car",1541.53638,"low savings","4-6 years",2.189954806,"male mar/wid","none",1.793303204,"life insurance",31.32968364,"bank","own",1,"skilled",1,"none","yes","bad"
"overdrawn",44.75690726,"existing paid","new car",7735.758021,"low savings","7 or more years",3.675690726,"male single","none",4,"life insurance",42.97292782,"bank","for free",1,"high qualif/self emp/mgmt",1.108103091,"none","yes","bad"
"overdrawn",12.15991402,"critical/order existing credit","furniture/equipment",1207.239871,"low savings","less than 1 year",4,"female div/dep/mar","none",3.486673831,"car",28.84008598,"stores","own",1,"skilled",1,"none","yes","bad"
"overdrawn",43.8018947,"all paid","education",7638.354386,"low savings","4-6 years",2.466456145,"female div/dep/mar","guarantor",3.300315783,"car",40.73164916,"bank","own",1,"high qualif/self emp/mgmt",1,"none","yes","bad"
"overdrawn",23.72344832,"delayed previously","new car",6114.842389,"low savings","1-3 years",4,"male single","none",2.418694583,"life insurance",27.58130542,"bank","own",1.581305417,"skilled",1,"yes","yes","bad"
"low balance",24.71784019,"no credits/all paid","business",4245.665961,"low savings","1-3 years",1.358920094,"male mar/wid","none",4,"no known property",34.80359969,"stores","own",2.880359969,"unskilled resident",1,"none","yes","bad"
"low balance",14.13016674,"existing paid","education",2763.183426,"high savings","7 or more years",1.710055581,"female div/dep/mar","none",2,"car",33.52066697,"bank","own",1.236685194,"skilled",1,"none","yes","bad"
